,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
407,Alex Erickson,CAR,WR,29,12,0,0,0,0,0,0,0,0,,0,3,3,55,18.33,0,0,0,0,,,6,8.5,8.5,7,,163,
408,Jesper Horsted,CHI,TE,24,5,0,0,0,0,0,0,0,0,,0,2,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,79,
409,Joshua Kelley,LAC,RB,24,5,0,0,0,0,0,0,11,41,3.73,0,4,3,19,6.33,0,0,0,0,,,6,9,9,7.5,,111,
410,Josh Oliver,BAL,TE,24,10,0,0,0,0,0,0,0,0,,0,13,7,59,8.43,0,1,0,0,,,6,12.9,12.9,9.4,,80,
411,Blake Bell,KAN,TE,30,10,2,0,0,0,0,0,2,5,2.5,0,8,5,41,8.2,0,0,0,0,,,5,9.6,9.6,7.1,,85,
412,Jaelon Darden,TAM,WR,22,6,0,0,0,0,0,0,1,11,11,0,8,6,43,7.17,0,0,0,0,,,5,11.4,11.4,8.4,,164,
413,Luke Farrell,JAX,TE,24,10,2,0,0,0,0,0,0,0,,0,9,6,49,8.17,0,1,0,0,,,5,10.9,10.9,7.9,,83,
414,Will Fuller,MIA,WR,27,2,0,0,0,0,0,0,0,0,,0,8,4,26,6.5,0,0,0,0,1,,5,8.6,8.6,6.6,,168,
415,Dax Milne,WAS,WR,22,9,1,0,0,0,0,0,0,0,,0,11,7,71,10.14,0,1,1,0,,,5,12.1,13.1,8.6,,166,
416,Dare Ogunbowale,JAX,RB,27,11,0,0,0,0,0,0,5,13,2.6,0,4,3,32,10.67,0,0,0,0,,,5,7.5,7.5,6,,115,
417,Jalen Richard,LVR,RB,28,6,0,0,0,0,0,0,5,8,1.6,0,10,8,45,5.63,0,0,0,0,,,5,13.3,13.3,9.3,,112,
418,Amari Rodgers,GNB,WR,22,12,1,0,0,0,0,0,1,11,11,0,5,3,40,13.33,0,2,0,0,,,5,8.1,8.1,6.6,,167,
419,Drew Sample,CIN,TE,25,11,6,0,0,0,0,0,0,0,,0,10,6,48,8,0,0,0,0,,,5,10.8,10.8,7.8,,84,
420,Rodney Smith,CAR,RB,25,2,0,0,0,0,0,0,0,0,,0,5,5,48,9.6,0,0,0,0,,,5,9.8,9.8,7.3,,114,
421,Benny Snell Jr.,PIT,RB,23,11,0,0,0,0,0,0,15,43,2.87,0,3,1,7,7,0,0,0,0,,,5,6,6,5.5,,113,
422,Mike Thomas,CIN,WR,27,8,1,0,0,0,0,0,0,0,,0,8,5,52,10.4,0,0,0,0,,,5,10.2,10.2,7.7,,165,
423,Charlie Woerner,SFO,TE,24,11,2,0,0,0,0,0,0,0,,0,6,5,52,10.4,0,0,0,0,,,5,10.2,10.2,7.7,,82,
424,Brandon Allen,CIN,QB,29,4,0,2,4,13,1,0,5,-4,-0.8,0,0,0,0,,0,0,0,0,,,4,4.1,4.1,4.1,,55,
425,JJ Arcega-Whiteside,PHI,WR,25,11,2,0,0,0,0,0,0,0,,0,2,2,36,18,0,0,0,0,,,4,5.6,5.6,4.6,,173,
426,Kalen Ballage,PIT,RB,26,11,0,0,0,0,0,0,11,36,3.27,0,7,2,8,4,0,0,0,0,,,4,6.4,6.4,5.4,,116,
427,Darren Fells,2TM,TE,35,8,5,0,0,0,0,0,0,0,,0,5,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,86,
428,Penny Hart,SEA,WR,25,10,0,0,0,0,0,0,0,0,,0,9,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,170,
429,Rashaad Penny,SEA,RB,25,4,1,0,0,0,0,0,17,43,2.53,0,0,0,0,,0,0,0,0,,,4,4.3,4.3,4.3,,117,
430,Ben Skowronek,LAR,WR,24,8,0,0,0,0,0,0,0,0,,0,8,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,169,
431,Willie Snead,2TM,WR,29,8,0,0,0,0,0,0,0,0,,0,7,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,171,
432,Kevin White,NOR,WR,29,5,1,0,0,0,0,0,0,0,,0,5,1,38,38,0,0,0,0,,,4,4.8,4.8,4.3,,172,
433,Jason Cabinda,DET,RB,25,10,2,0,0,0,0,0,3,23,7.67,0,3,1,4,4,0,0,0,0,,,3,3.7,3.7,3.2,,123,
434,Corey Clement,DAL,RB,27,11,0,0,0,0,0,0,9,20,2.22,0,1,1,5,5,0,0,0,0,,,3,3.5,3.5,3,,124,
435,Garrett Griffin,NOR,TE,27,11,4,0,0,0,0,0,0,0,,0,3,3,30,10,0,0,0,0,,,3,6,6,4.5,,89,
436,Chad Henne,KAN,QB,36,2,0,11,16,82,0,0,3,2,0.67,0,0,0,0,,0,0,0,0,,,3,3.5,3.5,3.5,,56,
437,K.J. Hill,LAC,WR,24,6,0,0,0,0,0,0,0,0,,0,3,3,30,10,0,0,0,0,,,3,6,6,4.5,,175,
438,Kylin Hill,GNB,RB,23,8,0,0,0,0,0,0,10,24,2.4,0,2,1,5,5,0,0,0,0,,,3,3.9,3.9,3.4,,121,
439,Tommy Hudson,TEN,TE,24,5,0,0,0,0,0,0,0,0,,0,6,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,88,
440,Trenton Irwin,CIN,WR,26,5,0,0,0,0,0,0,0,0,,0,1,1,25,25,0,0,0,0,,,3,3.5,3.5,3,,179,
441,Jakob Johnson,NWE,RB,27,12,4,0,0,0,0,0,0,0,,0,4,3,34,11.33,0,0,0,0,,,3,6.4,6.4,4.9,,119,
442,Qadree Ollison,ATL,RB,25,2,0,0,0,0,0,0,9,34,3.78,0,3,2,0,0,0,0,0,0,,,3,5.4,5.4,4.4,,118,
443,Andre Roberts,2TM,WR,33,11,0,0,0,0,0,0,2,13,6.5,0,2,1,35,35,0,2,1,0,,,3,3.8,4.8,3.3,,176,
444,Curtis Samuel,WAS,WR,25,2,1,0,0,0,0,0,1,8,8,0,5,4,19,4.75,0,0,0,0,,,3,6.7,6.7,4.7,,177,
445,Kaden Smith,NYG,TE,24,10,4,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,87,
446,Mike Strachan,IND,WR,24,6,0,0,0,0,0,0,0,0,,0,3,2,26,13,0,0,0,0,,,3,4.6,4.6,3.6,,178,
447,Ke'Shawn Vaughn,TAM,RB,24,6,0,0,0,0,0,0,8,31,3.88,0,0,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,120,
448,Dwayne Washington,NOR,RB,27,9,0,0,0,0,0,0,4,16,4,0,2,2,12,6,0,0,0,0,,,3,4.8,4.8,3.8,,122,
449,Juwann Winfree,GNB,WR,25,3,0,0,0,0,0,0,0,0,,0,6,4,30,7.5,0,1,0,0,,,3,7,7,5,,174,
450,Nick Bawden,NYJ,RB,25,3,0,0,0,0,0,0,0,0,,0,1,1,20,20,0,0,0,0,,,2,3,3,2.5,,128,
451,Christian Blake,ATL,WR,25,10,0,0,0,0,0,0,0,0,,0,6,3,20,6.67,0,0,0,0,,,2,5,5,3.5,,184,
452,Michael Burton,KAN,RB,29,10,0,0,0,0,0,0,3,9,3,0,1,1,11,11,0,0,0,0,,,2,3,3,2.5,,130,
453,Cethan Carter,MIA,TE,26,12,1,0,0,0,0,0,0,0,,0,2,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,90,
454,D'Wayne Eskridge,SEA,WR,24,3,0,0,0,0,0,0,2,22,11,0,3,2,2,1,0,0,0,0,,,2,4.4,4.4,3.4,,180,
455,Darrynton Evans,TEN,RB,23,1,0,0,0,0,0,0,2,7,3.5,0,2,2,11,5.5,0,0,0,0,,,2,3.8,3.8,2.8,,135,
456,Blaine Gabbert,TAM,QB,32,4,0,7,8,67,0,0,8,-6,-0.75,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,57,
457,Reggie Gilliam,BUF,RB,24,11,5,0,0,0,0,0,3,3,1,0,3,2,15,7.5,0,0,0,0,,,2,3.8,3.8,2.8,,133,
458,Josh Gordon,KAN,WR,30,7,4,0,0,0,0,0,0,0,,0,6,2,18,9,0,0,0,0,,,2,3.8,3.8,2.8,,185,
459,Cody Hollister,TEN,WR,28,1,1,0,0,0,0,0,0,0,,0,4,2,22,11,0,0,0,0,,,2,4.2,4.2,3.2,,183,
460,Duke Johnson,MIA,RB,28,1,0,0,0,0,0,0,4,18,4.5,0,0,0,0,,0,0,0,0,,,2,1.8,1.8,1.8,,132,
461,Tyron Johnson,JAX,WR,25,5,0,0,0,0,0,0,0,0,,0,5,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,189,
462,Marcus Kemp,KAN,WR,26,10,0,0,0,0,0,0,0,0,,0,3,2,24,12,0,0,0,0,,,2,4.4,4.4,3.4,,181,
463,Tom Kennedy,DET,WR,25,6,0,0,0,0,0,0,0,0,,0,2,1,15,15,0,0,0,0,,,2,2.5,2.5,2,,190,
464,Keith Kirkwood,CAR,WR,27,2,0,0,0,0,0,0,0,0,,0,6,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,187,
465,Patrick Laird,MIA,RB,26,5,0,0,0,0,0,0,1,4,4,0,3,3,17,5.67,0,0,0,0,,,2,5.1,5.1,3.6,,126,
466,Drew Lock,DEN,QB,25,2,0,16,28,139,0,2,0,0,,0,0,0,0,,0,1,0,0,,,2,1.6,3.6,3.6,,59,
467,Raheem Mostert,SFO,RB,29,1,1,0,0,0,0,0,2,20,10,0,0,0,0,,0,0,0,0,,,2,2,2,2,,129,
468,Gabe Nabers,LAC,RB,24,6,1,0,0,0,0,0,1,2,2,0,3,3,17,5.67,0,0,0,0,,,2,4.9,4.9,3.4,,131,
469,Gunner Olszewski,NWE,WR,25,11,0,0,0,0,0,0,0,0,,0,1,1,22,22,0,1,0,0,,,2,3.2,3.2,2.7,,182,
470,Breshad Perriman,TAM,WR,28,2,0,0,0,0,0,0,1,-3,-3,0,4,2,19,9.5,0,0,0,0,,,2,3.6,3.6,2.6,,188,
471,Scottie Phillips,HOU,RB,24,3,0,0,0,0,0,0,6,13,2.17,0,3,2,9,4.5,0,0,0,0,,,2,4.2,4.2,3.2,,125,
472,Shi Smith,CAR,WR,23,4,0,0,0,0,0,0,1,-3,-3,0,5,3,18,6,0,0,0,0,,,2,4.5,4.5,3,,191,
473,Jack Stoll,PHI,TE,23,12,1,0,0,0,0,0,0,0,,0,4,3,15,5,0,0,0,0,,,2,4.5,4.5,3,,92,
474,Chris Streveler,ARI,QB,26,2,0,6,9,36,0,0,3,6,2,0,0,0,0,,0,1,0,0,,,2,2,2,2,,58,
475,Patrick Taylor,GNB,RB,23,4,0,0,0,0,0,0,6,18,3,0,0,0,0,,0,0,0,0,,,2,1.8,1.8,1.8,,134,
476,Jonathan Ward,ARI,RB,24,8,0,0,0,0,0,0,5,21,4.2,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,127,
477,Derek Watt,PIT,RB,29,11,2,0,0,0,0,0,0,0,,0,3,3,15,5,0,0,0,0,,,2,4.5,4.5,3,,136,
478,Trevon Wesco,NYJ,TE,26,10,5,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,91,
479,Cody White,PIT,WR,23,9,0,0,0,0,0,0,0,0,,0,3,2,17,8.5,0,0,0,0,,,2,3.7,3.7,2.7,,186,
480,C.J. Beathard,JAX,QB,28,1,0,2,2,33,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,60,
481,David Blough,DET,QB,26,1,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,1,0,0,,,1,0.6,0.6,0.6,,63,
482,Miles Boykin,BAL,WR,25,5,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,199,
483,Gary Brightwell,NYG,RB,22,10,0,0,0,0,0,0,1,4,4,0,1,1,6,6,0,0,0,0,,,1,2,2,1.5,,143,
484,Derek Carrier,LVR,TE,31,4,1,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,94,
485,Pharoh Cooper,NYG,WR,26,3,0,0,0,0,0,0,1,3,3,0,2,1,6,6,0,0,0,0,,,1,1.9,1.9,1.4,,196,
486,Keke Coutee,IND,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,0,,,1,1.5,1.5,1,,200,
487,Damarea Crockett,DEN,RB,24,8,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,146,
488,Dominique Dafney,GNB,TE,24,6,2,0,0,0,0,0,0,0,,0,2,1,8,8,0,0,0,0,,,1,1.8,1.8,1.3,,98,
489,Frank Darby,ATL,WR,24,5,0,0,0,0,0,0,0,0,,0,3,1,14,14,0,0,0,0,,,1,2.4,2.4,1.9,,192,
490,Sam Ehlinger,IND,QB,23,2,0,0,0,0,0,0,2,10,5,0,0,0,0,,0,0,0,0,,,1,1,1,1,,61,
491,Ryan Fitzpatrick,WAS,QB,39,1,1,3,6,13,0,0,1,2,2,0,0,0,0,,0,1,0,0,,,1,0.7,0.7,0.7,,62,
492,Jake Funk,LAR,RB,23,6,0,0,0,0,0,0,1,6,6,0,0,0,0,,0,0,0,0,,,1,0.6,0.6,0.6,,147,
493,Parker Hesse,ATL,TE,26,5,0,0,0,0,0,0,0,0,,0,3,2,12,6,0,0,0,0,,,1,3.2,3.2,2.2,,96,
494,Buddy Howell,LAR,RB,25,7,0,0,0,0,0,0,5,11,2.2,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,142,
495,Deon Jackson,IND,RB,22,5,0,0,0,0,0,0,6,12,2,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,141,
496,John Kelly,CLE,RB,25,3,0,0,0,0,0,0,2,13,6.5,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,138,
497,Anthony McFarland Jr.,PIT,RB,22,2,0,0,0,0,0,0,3,3,1,0,1,1,11,11,0,0,0,0,,,1,2.4,2.4,1.9,,137,
498,Tre' McKitty,LAC,TE,22,5,2,0,0,0,0,0,0,0,,0,2,1,7,7,0,0,0,0,,,1,1.7,1.7,1.2,,100,
499,Kirk Merritt,MIA,WR,24,1,0,0,0,0,0,0,0,0,,0,3,1,13,13,0,0,0,0,,,1,2.3,2.3,1.8,,194,